liq_category,Open,High,Low,Close,ser_no
last_few_candles,49729.25,49733.1484375,49720.19921875,49720.75,1367.0
last_few_candles,49732.1015625,49732.1015625,49712.30078125,49717.75,1371.0
last_few_candles,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0
last_few_candles,49725.0,49734.0,49722.30078125,49731.30078125,1380.0
last_few_candles,49742.30078125,49747.3515625,49733.8515625,49736.80078125,1390.0
last_few_candles,49742.30078125,49744.80078125,49729.80078125,49743.05078125,1391.0
last_few_candles,49742.1015625,49746.05078125,49732.05078125,49739.1015625,1398.0
last_few_candles,49737.25,49741.8984375,49727.30078125,49728.25,1399.0
last_few_candles,49732.8984375,49742.75,49721.94921875,49722.75,1401.0
last_few_candles,49719.1484375,49727.30078125,49703.5,49708.19921875,1402.0
last_few_candles,49755.1015625,49766.94921875,49740.8984375,49758.0,1424.0
last_few_candles,49759.3984375,49764.94921875,49733.6015625,49740.30078125,1425.0
last_few_candles,49740.5,49745.3515625,49732.44921875,49732.44921875,1426.0
last_few_candles,49730.80078125,49741.55078125,49721.05078125,49726.75,1427.0
last_few_candles,49723.5,49740.80078125,49718.69921875,49724.05078125,1428.0
last_few_candles,49721.3984375,49733.75,49716.05078125,49727.30078125,1429.0
last_few_candles,49755.6015625,49763.3984375,49725.44921875,49736.8515625,1443.0
last_few_candles,49737.0,49738.80078125,49714.25,49722.25,1444.0
last_few_candles,49722.25,49727.8984375,49705.3984375,49726.1484375,1445.0
last_few_candles,49731.55078125,49744.80078125,49726.6484375,49731.5,1455.0
last_few_candles,49734.1484375,49739.19921875,49718.1484375,49724.69921875,1456.0
last_few_candles,49743.8515625,49745.5,49719.25,49725.94921875,1464.0
last_few_candles,49731.3515625,49731.3515625,49692.8515625,49702.19921875,1465.0
last_few_candles,49727.69921875,49730.30078125,49708.94921875,49713.94921875,1473.0
last_few_candles,49715.30078125,49738.69921875,49707.69921875,49737.6015625,1474.0
last_few_candles,49728.8515625,49729.19921875,49692.80078125,49701.44921875,1476.0
last_few_candles,49734.1484375,49735.30078125,49716.80078125,49723.69921875,1489.0
last_few_candles,50248.0,50249.0,50214.6484375,50217.75,1507.0
last_few_candles,50216.55078125,50250.75,50209.6484375,50240.0,1508.0
last_few_candles,50208.6484375,50220.8515625,50191.8515625,50200.3515625,1510.0
last_few_candles,50199.05078125,50201.1484375,50181.1015625,50181.1015625,1511.0
last_few_candles,50190.19921875,50223.55078125,50177.3984375,50205.80078125,1512.0
last_few_candles,50203.6015625,50205.1015625,50171.30078125,50187.30078125,1513.0
last_few_candles,50181.5,50199.75,50167.8984375,50172.75,1514.0
last_few_candles,50178.5,50182.6015625,50156.1015625,50166.5,1515.0
last_few_candles,50169.30078125,50170.25,50060.80078125,50104.94921875,1516.0
last_few_candles,50096.19921875,50102.0,50059.69921875,50059.94921875,1519.0
last_few_candles,50060.19921875,50081.8515625,50056.55078125,50063.6015625,1520.0
last_few_candles,50065.94921875,50066.75,50002.19921875,50016.3515625,1521.0
last_few_candles,50011.5,50014.3984375,49973.6015625,49996.44921875,1522.0
