data_for_id,imb_open,imb_close,imb_diff,Open,High,Low,Close,ser_no
51,6925.0,6906.89990234375,-18.10009765625,6980.9501953125,6984.64990234375,6925.0,6927.0,50.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
72,6916.35009765625,6910.2998046875,-6.05029296875,6919.2001953125,6926.0,6916.35009765625,6922.2001953125,64.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
75,6886.2998046875,6826.0,-60.2998046875,6921.7998046875,6929.0,6886.2998046875,6899.5,74.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
84,6940.0,6929.0,-11.0,6962.5,6985.7998046875,6940.0,6942.4501953125,56.0
