data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
7,51666.3515625,51669.44921875,51661.3984375,51666.3515625,51560.0,51645.55078125,6.0,3.09765625
12,51567.19921875,51594.0,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,26.80078125
13,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
14,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
15,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
16,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
17,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
18,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
19,51567.19921875,51583.55078125,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,16.3515625
21,51639.19921875,51644.05078125,51630.6484375,51639.19921875,51532.44921875,51576.1015625,20.0,4.8515625
46,51857.05078125,51913.6015625,51830.6015625,51857.05078125,51780.1484375,51848.8984375,45.0,56.55078125
57,51756.0,51777.94921875,51702.8984375,51756.0,51590.25,51680.75,56.0,21.94921875
58,51797.3515625,51832.55078125,51683.1484375,51797.3515625,51674.6484375,51777.94921875,57.0,35.19921875
59,51797.3515625,51797.75,51683.1484375,51797.3515625,51674.6484375,51777.94921875,57.0,0.3984375
99,50089.1015625,50290.5,50050.19921875,50089.1015625,49906.05078125,50072.1484375,98.0,201.3984375
109,50101.55078125,50152.8984375,49975.1015625,50101.55078125,49966.5,50082.44921875,108.0,51.34765625
110,50194.3515625,50195.1015625,50083.80078125,50194.3515625,50043.3984375,50152.8984375,109.0,0.75
