liq_category,Open,High,Low,Close,ser_no
last_few_candles,51869.1484375,51874.75,51609.75,51830.44921875,0.0
last_few_candles,51661.3984375,51666.3515625,51560.0,51645.55078125,6.0
last_few_candles,51671.6484375,51671.6484375,51510.6484375,51527.1484375,10.0
last_few_candles,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0
last_few_candles,51630.6484375,51639.19921875,51532.44921875,51576.1015625,20.0
last_few_candles,51576.44921875,51673.75,51505.0,51644.05078125,21.0
last_few_candles,51550.69921875,51586.3515625,51501.80078125,51532.1484375,24.0
last_few_candles,51559.5,51564.94921875,51295.1484375,51461.44921875,25.0
last_few_candles,52046.69921875,52078.6015625,51895.80078125,51958.5,41.0
last_few_candles,51958.0,52003.55078125,51854.0,51863.5,42.0
last_few_candles,51865.0,51918.8984375,51837.1015625,51911.69921875,43.0
last_few_candles,51910.55078125,51912.30078125,51831.69921875,51832.94921875,44.0
last_few_candles,51830.6015625,51857.05078125,51780.1484375,51848.8984375,45.0
last_few_candles,51878.5,51965.1015625,51767.75,51940.80078125,48.0
last_few_candles,51937.25,51946.6015625,51675.8984375,51704.25,55.0
last_few_candles,51702.8984375,51756.0,51590.25,51680.75,56.0
last_few_candles,51724.44921875,51765.1015625,51652.19921875,51712.0,62.0
last_few_candles,51711.3515625,51747.0,51422.69921875,51477.8984375,63.0
last_few_candles,51469.94921875,51487.05078125,51235.6484375,51300.75,64.0
last_few_candles,51292.1484375,51298.05078125,51127.3515625,51253.69921875,66.0
last_few_candles,51226.44921875,51276.6015625,51013.6015625,51061.1015625,70.0
last_few_candles,51044.69921875,51289.1015625,51001.8515625,51190.94921875,75.0
last_few_candles,51208.75,51215.25,50867.0,50895.6015625,78.0
last_few_candles,50895.5,50981.80078125,50840.30078125,50958.80078125,79.0
last_few_candles,50959.3984375,51047.8984375,50752.44921875,50760.75,80.0
last_few_candles,50762.69921875,51020.8515625,50748.5,50794.0,81.0
last_few_candles,50788.8984375,50833.3515625,50700.8515625,50707.0,82.0
last_few_candles,50705.05078125,50746.3984375,50620.8515625,50700.6484375,83.0
last_few_candles,50771.25,50792.80078125,50543.3984375,50587.30078125,94.0
last_few_candles,50590.25,50593.6015625,50326.80078125,50340.69921875,95.0
last_few_candles,50333.94921875,50366.5,50084.19921875,50116.8515625,96.0
last_few_candles,50115.3515625,50192.3515625,50006.3984375,50054.75,97.0
last_few_candles,50050.19921875,50089.1015625,49906.05078125,50072.1484375,98.0
last_few_candles,50303.3984375,50319.1484375,50125.75,50138.3984375,106.0
last_few_candles,50137.30078125,50163.6484375,49971.0,50002.94921875,107.0
last_few_candles,49975.1015625,50101.55078125,49966.5,50082.44921875,108.0
last_few_candles,50286.19921875,50293.6484375,50148.0,50169.6015625,117.0
last_few_candles,50173.05078125,50248.3515625,50145.44921875,50219.8515625,118.0
last_few_candles,50214.55078125,50219.8984375,50121.5,50164.3984375,120.0
last_few_candles,50163.69921875,50189.6484375,50106.44921875,50132.6015625,121.0
last_few_candles,50174.19921875,50245.75,50078.3515625,50184.3984375,123.0
