trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,61.0,64,65,6901.10009765625,6896.0,6913.2998046875,Exited,-17.2998046875,34.599609375,,,Stop Loss,66,6881.10009765625,-20.0,20,40,80,120,0,0,0,0,,-9.2001953125
2,69.0,70,71,6885.89990234375,6871.0,6888.0,Exited,-17.0,34.0,,,Target Hit,75,6826.0,-59.89990234375,20,40,80,120,1,0,0,0,20,-59.89990234375
3,136.0,137,138,6744.2001953125,6719.0,6746.39990234375,Exited,-27.39990234375,54.7998046875,,,Stop Loss,147,6724.2001953125,-20.0,20,40,80,120,0,0,0,0,,-32.2001953125
4,174.0,175,176,7000.0,6987.14990234375,7010.0,Exited,-22.85009765625,45.7001953125,,,Target Hit,179,7057.4501953125,57.4501953125,20,40,80,120,1,1,1,0,80,57.4501953125
5,219.0,220,221,6925.7998046875,6920.0498046875,6943.25,Exited,-23.2001953125,46.400390625,,,Stop Loss,222,6905.7998046875,-20.0,20,40,80,120,0,0,0,0,,-5.7998046875
6,301.0,304,305,6920.89990234375,6897.0,6933.5,Exited,-36.5,73.0,,,Stop Loss,320,6900.89990234375,-20.0,20,40,80,120,0,0,0,0,,-20.89990234375
7,332.0,336,337,6783.0,6752.89990234375,6785.7998046875,Exited,-32.89990234375,65.7998046875,,,Target Hit,352,6805.0498046875,22.0498046875,20,40,80,120,1,1,0,0,40,22.0498046875
8,374.0,377,378,6921.60009765625,6886.60009765625,6938.5498046875,Exited,-51.94970703125,103.8994140625,,,Target Hit,388,6941.89990234375,20.2998046875,20,40,80,120,1,1,0,0,40,20.2998046875
9,380.0,381,382,6920.0,6896.0,6925.0,Exited,-29.0,58.0,,,Target Hit,388,6941.89990234375,21.89990234375,20,40,80,120,1,1,0,0,40,21.89990234375
10,405.0,406,407,6895.2998046875,6884.0,6908.0498046875,Exited,-24.0498046875,48.099609375,,,Target Hit,424,6900.0,4.7001953125,20,40,80,120,1,0,0,0,20,4.7001953125
11,408.0,409,410,6892.75,6870.0,6896.9501953125,Exited,-26.9501953125,53.900390625,,,Target Hit,435,6895.5,2.75,20,40,80,120,1,0,0,0,20,2.75
12,440.0,449,450,6856.5498046875,6845.0498046875,6867.89990234375,Exited,-22.85009765625,45.7001953125,,,Target Hit,453,6845.89990234375,-10.64990234375,20,40,80,120,1,0,0,0,20,-10.64990234375
13,450.0,452,453,6845.89990234375,6820.10009765625,6860.60009765625,Exited,-40.5,81.0,,,Target Hit,461,6816.5498046875,-29.35009765625,20,40,80,120,1,0,0,0,20,-29.35009765625
14,476.0,477,478,6770.7998046875,6762.25,6790.5,Exited,-28.25,56.5,,,Stop Loss,480,6750.7998046875,-20.0,20,40,80,120,0,0,0,0,,-44.25
15,362.0,479,480,6726.5498046875,6715.0,6743.0,Exited,-28.0,56.0,,,Stop Loss,482,6706.5498046875,-20.0,20,40,80,120,0,0,0,0,,-14.89990234375
16,501.0,504,505,6625.0,6622.0,6650.10009765625,Exited,-28.10009765625,56.2001953125,,,Stop Loss,506,6605.0,-20.0,20,40,80,120,0,0,0,0,,-8.2001953125
