trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,58.0,65,66,1556.9000244140625,1556.0,1562.0,Exited,-6.0,12.0,,,Stop Loss,68,1536.9000244140625,-20.0,20,40,80,120,0,0,0,0,,-2.6500244140625
2,69.0,70,71,1554.5,1552.1500244140625,1556.9000244140625,Exited,-4.75,9.5,,,Stop Loss,75,1534.5,-20.0,20,40,80,120,0,0,0,0,,-13.050048828125
3,76.0,81,82,1543.300048828125,1537.0,1544.550048828125,Exited,-7.550048828125,15.10009765625,,,Stop Loss,104,1523.300048828125,-20.0,20,40,80,120,0,0,0,0,,-7.050048828125
4,83.0,84,85,1541.0,1539.3499755859375,1543.5999755859375,Exited,-4.25,8.5,,,Target Hit,101,1544.800048828125,3.800048828125,20,40,80,120,1,0,0,0,20,3.800048828125
5,86.0,100,101,1544.800048828125,1538.25,1548.6500244140625,Exited,-10.4000244140625,20.800048828125,,,Stop Loss,104,1524.800048828125,-20.0,20,40,80,120,0,0,0,0,,-8.550048828125
6,126.0,127,128,1517.5,1515.5,1521.6500244140625,Exited,-6.1500244140625,12.300048828125,,,Stop Loss,129,1497.5,-20.0,20,40,80,120,0,0,0,0,,-11.4000244140625
7,151.0,155,156,1501.6500244140625,1493.0,1502.5,Exited,-9.5,19.0,,,Stop Loss,170,1481.6500244140625,-20.0,20,40,80,120,0,0,0,0,,-9.1500244140625
8,192.0,201,202,1485.949951171875,1482.300048828125,1487.449951171875,Exited,-5.14990234375,10.2998046875,,,Stop Loss,203,1465.949951171875,-20.0,20,40,80,120,0,0,0,0,,-5.3499755859375
9,220.0,224,225,1480.550048828125,1479.25,1482.9000244140625,Exited,-3.6500244140625,7.300048828125,,,Stop Loss,226,1460.550048828125,-20.0,20,40,80,120,0,0,0,0,,-8.300048828125
10,295.0,297,298,1419.9000244140625,1417.1500244140625,1420.0,Exited,-2.8499755859375,5.699951171875,,,Target Hit,500,1508.25,88.3499755859375,20,40,80,120,1,1,1,1,120,88.3499755859375
11,362.0,378,379,1594.8499755859375,1591.199951171875,1595.199951171875,Exited,-4.0,8.0,,,Stop Loss,386,1574.8499755859375,-20.0,20,40,80,120,0,0,0,0,,-7.5499267578125
12,349.0,386,387,1584.75,1580.0,1586.0,Exited,-6.0,12.0,,,Stop Loss,400,1564.75,-20.0,20,40,80,120,0,0,0,0,,-8.9000244140625
13,423.0,424,425,1574.800048828125,1569.5,1575.0999755859375,Exited,-5.5999755859375,11.199951171875,,,Target Hit,450,1578.1500244140625,3.3499755859375,20,40,80,120,1,0,0,0,20,3.3499755859375
14,453.0,454,455,1572.0,1570.199951171875,1579.0,Exited,-8.800048828125,17.60009765625,,,Stop Loss,457,1552.0,-20.0,20,40,80,120,0,0,0,0,,-6.949951171875
15,464.0,465,466,1547.0,1545.050048828125,1549.199951171875,Exited,-4.14990234375,8.2998046875,,,Stop Loss,478,1527.0,-20.0,20,40,80,120,0,0,0,0,,-7.5
16,478.0,479,480,1545.4000244140625,1538.75,1546.0,Exited,-7.25,14.5,,,Stop Loss,492,1525.4000244140625,-20.0,20,40,80,120,0,0,0,0,,-8.050048828125
17,501.0,502,503,1508.949951171875,1505.800048828125,1512.949951171875,Exited,-7.14990234375,14.2998046875,,,Stop Loss,520,1488.949951171875,-20.0,20,40,80,120,0,0,0,0,,-5.0
