trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,53.0,58,59,739.25,735.9000244140625,739.4000244140625,Exited,-3.5,7.0,,,Stop Loss,64,719.25,-20.0,20,40,80,120,0,0,0,0,,-3.75
2,66.0,67,68,735.0499877929688,733.0999755859375,735.6500244140625,Exited,-2.550048828125,5.10009765625,,,Stop Loss,75,715.0499877929688,-20.0,20,40,80,120,0,0,0,0,,-8.54998779296875
3,171.0,172,173,716.0,715.0999755859375,718.0499877929688,Exited,-2.95001220703125,5.9000244140625,,,Stop Loss,175,696.0,-20.0,20,40,80,120,0,0,0,0,,-43.45001220703125
4,258.0,259,260,679.1500244140625,677.0999755859375,679.6500244140625,Exited,-2.550048828125,5.10009765625,,,Stop Loss,328,659.1500244140625,-20.0,20,40,80,120,0,0,0,0,,-5.60003662109375
5,295.0,296,297,690.25,689.0,690.9000244140625,Exited,-1.9000244140625,3.800048828125,,,Stop Loss,298,670.25,-20.0,20,40,80,120,0,0,0,0,,-2.70001220703125
6,412.0,415,416,649.4500122070312,648.0,649.7000122070312,Exited,-1.70001220703125,3.4000244140625,,,Stop Loss,422,629.4500122070312,-20.0,20,40,80,120,0,0,0,0,,-2.6500244140625
7,433.0,434,435,655.2000122070312,653.5,656.2000122070312,Exited,-2.70001220703125,5.4000244140625,,,Stop Loss,442,635.2000122070312,-20.0,20,40,80,120,0,0,0,0,,-1.85003662109375
8,445.0,446,447,651.6500244140625,651.5,653.4000244140625,Exited,-1.9000244140625,3.800048828125,,,Stop Loss,448,631.6500244140625,-20.0,20,40,80,120,0,0,0,0,,-1.10003662109375
9,470.0,491,492,652.75,649.25,652.8499755859375,Exited,-3.5999755859375,7.199951171875,,,Stop Loss,500,632.75,-20.0,20,40,80,120,0,0,0,0,,-10.20001220703125
10,514.0,515,516,625.5999755859375,624.4500122070312,626.5499877929688,Exited,-2.0999755859375,4.199951171875,,,Stop Loss,521,605.5999755859375,-20.0,20,40,80,120,0,0,0,0,,-2.89996337890625
11,521.0,522,523,625.0,622.5499877929688,625.5499877929688,Entered,-3.0,6.0,,,,,,,20,40,80,120,0,0,0,0,,2.3499755859375
