trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,131.0,132,133,483.95001220703125,481.79998779296875,484.3999938964844,Exited,-2.600006103515625,5.20001220703125,,,Stop Loss,146,463.95001220703125,-20.0,20,40,80,120,0,0,0,0,,-2.600006103515625
2,162.0,164,165,481.0,479.79998779296875,481.20001220703125,Exited,-1.4000244140625,2.800048828125,,,Stop Loss,172,461.0,-20.0,20,40,80,120,0,0,0,0,,-1.350006103515625
3,275.0,276,277,490.20001220703125,486.6000061035156,490.8500061035156,Exited,-4.25,8.5,,,Stop Loss,310,470.20001220703125,-20.0,20,40,80,120,0,0,0,0,,-4.050018310546875
4,313.0,314,315,485.8500061035156,484.8500061035156,485.95001220703125,Exited,-1.100006103515625,2.20001220703125,,,Stop Loss,328,465.8500061035156,-20.0,20,40,80,120,0,0,0,0,,-1.75
5,320.0,326,327,486.29998779296875,485.1000061035156,486.5,Exited,-1.399993896484375,2.79998779296875,,,Stop Loss,328,466.29998779296875,-20.0,20,40,80,120,0,0,0,0,,-2.199981689453125
6,333.0,334,335,481.54998779296875,479.6000061035156,482.54998779296875,Exited,-2.949981689453125,5.89996337890625,,,Stop Loss,353,461.54998779296875,-20.0,20,40,80,120,0,0,0,0,,-2.54998779296875
7,339.0,341,342,481.6000061035156,480.20001220703125,481.6499938964844,Exited,-1.449981689453125,2.89996337890625,,,Stop Loss,353,461.6000061035156,-20.0,20,40,80,120,0,0,0,0,,-2.600006103515625
8,355.0,356,357,480.6000061035156,479.5,480.70001220703125,Exited,-1.20001220703125,2.4000244140625,,,Stop Loss,359,460.6000061035156,-20.0,20,40,80,120,0,0,0,0,,-1.20001220703125
9,441.0,446,447,476.6499938964844,476.6499938964844,477.0,Exited,-0.350006103515625,0.70001220703125,,,Stop Loss,450,456.6499938964844,-20.0,20,40,80,120,0,0,0,0,,-0.449981689453125
10,463.0,464,465,478.8999938964844,478.6499938964844,479.45001220703125,Exited,-0.800018310546875,1.60003662109375,,,Stop Loss,467,458.8999938964844,-20.0,20,40,80,120,0,0,0,0,,-1.25
11,478.0,479,480,474.95001220703125,474.95001220703125,475.95001220703125,Exited,-1.0,2.0,,,Stop Loss,482,454.95001220703125,-20.0,20,40,80,120,0,0,0,0,,-0.20001220703125
