trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,53.0,56,57,3325.10009765625,3307.5,3327.75,Exited,-20.25,40.5,,,Stop Loss,60,3305.10009765625,-20.0,20,40,80,120,0,0,0,0,,-41.0
2,61.0,62,63,3289.699951171875,3277.0,3290.89990234375,Exited,-13.89990234375,27.7998046875,,,Stop Loss,67,3269.699951171875,-20.0,20,40,80,120,0,0,0,0,,-17.14990234375
3,125.0,127,128,3335.800048828125,3288.800048828125,3354.550048828125,Exited,-65.75,131.5,,,Stop Loss,137,3315.800048828125,-20.0,20,40,80,120,0,0,0,0,,-21.75
4,138.0,139,140,3303.0,3288.050048828125,3313.300048828125,Exited,-25.25,50.5,,,Target Hit,142,3306.75,3.75,20,40,80,120,1,0,0,0,20,3.75
5,75.0,149,150,3200.0,3147.39990234375,3213.35009765625,Exited,-65.9501953125,131.900390625,,,Target Hit,160,3220.550048828125,20.550048828125,20,40,80,120,1,1,0,0,40,20.550048828125
6,301.0,302,303,3141.85009765625,3126.75,3144.449951171875,Exited,-17.699951171875,35.39990234375,,,Stop Loss,304,3121.85009765625,-20.0,20,40,80,120,0,0,0,0,,-15.9501953125
7,316.0,317,318,3095.699951171875,3090.300048828125,3096.89990234375,Exited,-6.599853515625,13.19970703125,,,Target Hit,331,3120.050048828125,24.35009765625,20,40,80,120,1,1,0,0,40,24.35009765625
8,356.0,357,358,3090.60009765625,3075.699951171875,3090.949951171875,Exited,-15.25,30.5,,,Stop Loss,359,3070.60009765625,-20.0,20,40,80,120,0,0,0,0,,-21.0
9,389.0,399,400,3151.300048828125,3136.300048828125,3157.800048828125,Exited,-21.5,43.0,,,Stop Loss,402,3131.300048828125,-20.0,20,40,80,120,0,0,0,0,,-19.35009765625
10,405.0,406,407,3100.5,3092.050048828125,3103.89990234375,Exited,-11.849853515625,23.69970703125,,,Stop Loss,410,3080.5,-20.0,20,40,80,120,0,0,0,0,,-12.199951171875
11,411.0,412,413,3083.89990234375,3080.35009765625,3090.0,Exited,-9.64990234375,19.2998046875,,,Stop Loss,414,3063.89990234375,-20.0,20,40,80,120,0,0,0,0,,-4.64990234375
12,439.0,448,449,3002.0,2997.39990234375,3003.050048828125,Exited,-5.650146484375,11.30029296875,,,Stop Loss,450,2982.0,-20.0,20,40,80,120,0,0,0,0,,-6.0
13,482.0,483,484,2994.949951171875,2982.14990234375,2995.5,Exited,-13.35009765625,26.7001953125,,,Stop Loss,487,2974.949951171875,-20.0,20,40,80,120,0,0,0,0,,-13.599853515625
14,501.0,502,503,2888.35009765625,2864.89990234375,2897.0,Exited,-32.10009765625,64.2001953125,,,Stop Loss,509,2868.35009765625,-20.0,20,40,80,120,0,0,0,0,,-27.85009765625
15,535.0,536,537,2809.85009765625,2805.64990234375,2817.64990234375,Exited,-12.0,24.0,,,Stop Loss,539,2789.85009765625,-20.0,20,40,80,120,0,0,0,0,,-9.300048828125
