trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,94.0,95,96,155.3000030517578,155.1999969482422,155.67999267578125,Exited,-0.4799957275390625,0.959991455078125,,,Stop Loss,102,135.3000030517578,-20.0,20,40,80,120,0,0,0,0,,-0.25
2,102.0,103,104,155.2100067138672,154.61000061035156,155.4199981689453,Exited,-0.80999755859375,1.6199951171875,,,Stop Loss,125,135.2100067138672,-20.0,20,40,80,120,0,0,0,0,,-1.9000091552734375
3,126.0,127,128,152.36000061035156,152.24000549316406,153.27999877929688,Exited,-1.0399932861328125,2.079986572265625,,,Stop Loss,129,132.36000061035156,-20.0,20,40,80,120,0,0,0,0,,-0.4799957275390625
4,130.0,131,132,151.97000122070312,151.47000122070312,152.13999938964844,Exited,-0.6699981689453125,1.339996337890625,,,Stop Loss,141,131.97000122070312,-20.0,20,40,80,120,0,0,0,0,,-0.6399993896484375
5,152.0,153,154,149.67999267578125,148.14999389648438,150.10000610351562,Exited,-1.95001220703125,3.9000244140625,,,Stop Loss,200,129.67999267578125,-20.0,20,40,80,120,0,0,0,0,,-1.9099884033203125
6,163.0,164,165,149.85000610351562,149.55999755859375,149.97000122070312,Exited,-0.410003662109375,0.82000732421875,,,Stop Loss,171,129.85000610351562,-20.0,20,40,80,120,0,0,0,0,,-0.920013427734375
7,184.0,185,186,148.77999877929688,148.5,148.9499969482422,Exited,-0.4499969482421875,0.899993896484375,,,Stop Loss,200,128.77999877929688,-20.0,20,40,80,120,0,0,0,0,,-1.0099945068359375
8,195.0,197,198,148.8699951171875,148.5500030517578,149.00999450683594,Exited,-0.459991455078125,0.91998291015625,,,Stop Loss,200,128.8699951171875,-20.0,20,40,80,120,0,0,0,0,,-1.0999908447265625
9,258.0,259,260,147.0500030517578,146.7100067138672,147.10000610351562,Exited,-0.3899993896484375,0.779998779296875,,,Stop Loss,329,127.05000305175781,-20.0,20,40,80,120,0,0,0,0,,-0.5
10,260.0,261,262,147.19000244140625,147.00999450683594,147.3000030517578,Exited,-0.290008544921875,0.58001708984375,,,Stop Loss,266,127.19000244140625,-20.0,20,40,80,120,0,0,0,0,,-0.19000244140625
11,268.0,327,328,146.99000549316406,146.8699951171875,147.1300048828125,Exited,-0.260009765625,0.52001953125,,,Stop Loss,329,126.99000549316406,-20.0,20,40,80,120,0,0,0,0,,-0.44000244140625
12,412.0,413,414,154.05999755859375,153.9499969482422,154.42999267578125,Exited,-0.4799957275390625,0.959991455078125,,,Stop Loss,415,134.05999755859375,-20.0,20,40,80,120,0,0,0,0,,-2.1399993896484375
13,492.0,493,494,144.97999572753906,144.41000366210938,145.0399932861328,Exited,-0.6299896240234375,1.259979248046875,,,Stop Loss,498,124.97999572753906,-20.0,20,40,80,120,0,0,0,0,,-0.9799957275390625
14,517.0,518,519,139.25999450683594,138.86000061035156,139.39999389648438,Exited,-0.5399932861328125,1.079986572265625,,,Stop Loss,520,119.25999450683594,-20.0,20,40,80,120,0,0,0,0,,-0.54998779296875
