trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,102.0,103,104,3357.75,3335.5,3362.0,Exited,-26.5,53.0,,,Target Hit,110,3362.0,4.25,20,40,80,120,1,0,0,0,20,4.25
2,112.0,113,114,3352.64990234375,3347.199951171875,3357.0,Exited,-9.800048828125,19.60009765625,,,Target Hit,124,3355.0,2.35009765625,20,40,80,120,1,0,0,0,20,2.35009765625
3,124.0,125,126,3363.949951171875,3355.0,3367.800048828125,Exited,-12.800048828125,25.60009765625,,,Stop Loss,128,3343.949951171875,-20.0,20,40,80,120,0,0,0,0,,-16.849853515625
4,134.0,135,136,3339.0,3331.0,3342.5,Exited,-11.5,23.0,,,Stop Loss,141,3319.0,-20.0,20,40,80,120,0,0,0,0,,-14.550048828125
5,143.0,144,145,3331.550048828125,3325.85009765625,3332.64990234375,Exited,-6.7998046875,13.599609375,,,Stop Loss,150,3311.550048828125,-20.0,20,40,80,120,0,0,0,0,,-10.800048828125
6,206.0,207,208,3256.89990234375,3243.199951171875,3264.050048828125,Exited,-20.85009765625,41.7001953125,,,Stop Loss,218,3236.89990234375,-20.0,20,40,80,120,0,0,0,0,,-14.5
7,235.0,236,237,3282.25,3279.64990234375,3288.949951171875,Exited,-9.300048828125,18.60009765625,,,Stop Loss,250,3262.25,-20.0,20,40,80,120,0,0,0,0,,-15.25
8,252.0,253,254,3251.39990234375,3241.550048828125,3260.300048828125,Exited,-18.75,37.5,,,Target Hit,300,3266.14990234375,14.75,20,40,80,120,1,1,0,0,40,14.75
9,257.0,258,259,3249.64990234375,3245.199951171875,3251.949951171875,Exited,-6.75,13.5,,,Target Hit,300,3266.14990234375,16.5,20,40,80,120,1,1,0,0,40,16.5
10,343.0,344,345,3202.300048828125,3192.050048828125,3203.199951171875,Exited,-11.14990234375,22.2998046875,,,Target Hit,357,3216.25,13.949951171875,20,40,80,120,1,1,0,0,40,13.949951171875
11,367.0,368,369,3203.0,3193.35009765625,3206.0,Exited,-12.64990234375,25.2998046875,,,Target Hit,375,3128.35009765625,-74.64990234375,20,40,80,120,1,0,0,0,20,-74.64990234375
12,425.0,433,434,3132.699951171875,3106.0,3133.800048828125,Exited,-27.800048828125,55.60009765625,,,Target Hit,467,3184.699951171875,52.0,20,40,80,120,1,1,1,0,80,52.0
