,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,162,7058.25,2024-10-23 12:15:00+00:00,7033.5498046875,7082.9501953125,24.7001953125,-24.7001953125,Closed
1,173,6990.0,2024-10-23 15:00:00+00:00,7047.10009765625,7104.2001953125,57.10009765625,57.10009765625,Closed
2,198,7038.39990234375,2024-10-24 15:00:00+00:00,7030.35009765625,7046.44970703125,8.0498046875,-8.0498046875,Closed
3,232,7017.4501953125,2024-10-28 11:00:00+00:00,6977.9501953125,7056.9501953125,39.5,-39.5,Closed
4,266,6961.35009765625,2024-10-29 13:15:00+00:00,7039.85009765625,7079.10009765625,39.25,78.5,Closed
5,271,7026.75,2024-10-29 14:30:00+00:00,6997.9501953125,7055.5498046875,28.7998046875,-28.7998046875,Closed
6,372,6948.14990234375,2024-11-05 14:45:00+00:00,6942.2998046875,6954.0,5.85009765625,-5.85009765625,Closed
7,373,6929.7001953125,2024-11-05 15:00:00+00:00,6989.650390625,7049.6005859375,59.9501953125,59.9501953125,Closed
8,377,6942.10009765625,2024-11-06 09:45:00+00:00,6938.5498046875,6945.650390625,3.55029296875,-3.55029296875,Closed
9,387,6961.5,2024-11-06 12:15:00+00:00,6950.0,6973.0,11.5,-11.5,Closed
10,396,7005.0,2024-11-06 14:30:00+00:00,7000.0,7010.0,5.0,-5.0,Closed
