,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,232,1496.300048828125,2024-10-28 11:00:00+00:00,1500.650146484375,1505.000244140625,4.35009765625,4.35009765625,Closed
1,239,1499.9000244140625,2024-10-28 12:45:00+00:00,1503.8001708984375,1505.1002197265625,1.300048828125,3.900146484375,Closed
2,300,1537.25,2024-10-31 09:15:00+00:00,1420.0,1654.5,117.25,,Entered
3,321,1554.199951171875,2024-10-31 14:30:00+00:00,1578.599853515625,1590.7998046875,12.199951171875,24.39990234375,Closed
4,354,1596.0999755859375,2024-11-05 10:15:00+00:00,1597.5999755859375,1599.0999755859375,1.5,1.5,Closed
5,367,1602.1500244140625,2024-11-05 13:30:00+00:00,1599.949951171875,1604.35009765625,2.2000732421875,-2.2000732421875,Closed
6,381,1598.449951171875,2024-11-06 10:45:00+00:00,1595.199951171875,1601.699951171875,3.25,-3.25,Closed
7,439,1579.6500244140625,2024-11-08 12:45:00+00:00,1592.900146484375,1595.5501708984375,2.6500244140625,13.2501220703125,Closed
8,443,1591.5999755859375,2024-11-08 13:45:00+00:00,1594.39990234375,1597.1998291015625,2.7999267578125,2.7999267578125,Closed
9,451,1582.0,2024-11-11 09:30:00+00:00,1581.0,1583.0,1.0,-1.0,Closed
