,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,29,735.5,2024-10-16 10:15:00+00:00,733.0499877929688,737.9500122070312,2.45001220703125,-2.45001220703125,Closed
1,47,733.0499877929688,2024-10-16 14:45:00+00:00,731.9500122070312,734.1499633789062,1.0999755859375,-1.0999755859375,Closed
2,83,739.0,2024-10-18 11:15:00+00:00,754.0,757.0,3.0,15.0,Closed
3,107,745.0,2024-10-21 11:00:00+00:00,739.4500122070312,750.5499877929688,5.54998779296875,-5.54998779296875,Closed
4,232,694.6500244140625,2024-10-28 11:00:00+00:00,690.7000122070312,698.6000366210938,3.95001220703125,-3.95001220703125,Closed
5,275,691.25,2024-10-30 09:15:00+00:00,694.8499755859375,698.449951171875,3.5999755859375,3.5999755859375,Closed
6,350,684.2000122070312,2024-11-05 09:15:00+00:00,697.6500244140625,711.1000366210938,13.45001220703125,13.45001220703125,Closed
7,365,687.4500122070312,2024-11-05 13:00:00+00:00,699.4500122070312,701.4500122070312,2.0,12.0,Closed
8,373,698.3499755859375,2024-11-05 15:00:00+00:00,696.3499755859375,700.3499755859375,2.0,-2.0,Closed
9,375,694.0499877929688,2024-11-06 09:15:00+00:00,706.5499877929688,707.7999877929688,1.25,12.5,Closed
10,379,700.5999755859375,2024-11-06 10:15:00+00:00,706.199462890625,706.5994262695312,0.39996337890625,5.5994873046875,Closed
11,474,654.7999877929688,2024-11-11 15:15:00+00:00,660.6500244140625,662.6000366210938,1.95001220703125,5.85003662109375,Closed
