,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,11,497.5,2024-10-15 12:00:00+00:00,496.8999938964844,498.1000061035156,0.600006103515625,-0.600006103515625,Closed
1,99,486.70001220703125,2024-10-18 15:15:00+00:00,486.45001220703125,486.95001220703125,0.25,-0.25,Closed
2,120,485.8999938964844,2024-10-21 14:15:00+00:00,485.79998779296875,486.0,0.100006103515625,-0.100006103515625,Closed
3,122,484.8999938964844,2024-10-21 14:45:00+00:00,484.45001220703125,485.3499755859375,0.449981689453125,-0.449981689453125,Closed
4,222,482.3500061035156,2024-10-25 14:45:00+00:00,481.20001220703125,483.5,1.149993896484375,-1.149993896484375,Closed
5,232,482.8999938964844,2024-10-28 11:00:00+00:00,485.1000061035156,486.20001220703125,1.100006103515625,2.20001220703125,Closed
6,239,484.79998779296875,2024-10-28 12:45:00+00:00,483.8999938964844,485.6999816894531,0.899993896484375,-0.899993896484375,Closed
7,249,484.45001220703125,2024-10-28 15:15:00+00:00,484.3500061035156,484.5500183105469,0.100006103515625,-0.100006103515625,Closed
8,263,487.79998779296875,2024-10-29 12:30:00+00:00,490.99993896484375,492.59991455078125,1.5999755859375,3.199951171875,Closed
9,397,481.54998779296875,2024-11-06 14:45:00+00:00,481.5,481.5999755859375,0.04998779296875,-0.04998779296875,Closed
