,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,90,51878.6484375,2024-10-18 13:00:00+00:00,51953.6484375,51957.3984375,3.75,75.0,Closed
1,94,52121.25,2024-10-18 14:00:00+00:00,52234.5,52347.75,113.25,113.25,Closed
2,99,52138.69921875,2024-10-18 15:15:00+00:00,52146.69921875,52154.69921875,8.0,8.0,Closed
3,182,51568.1484375,2024-10-24 11:00:00+00:00,51437.6015625,51698.6953125,130.546875,-130.546875,Closed
4,227,51424.0,2024-10-28 09:45:00+00:00,51959.05078125,52494.1015625,535.05078125,535.05078125,Closed
5,266,51947.5,2024-10-29 13:15:00+00:00,52298.796875,52474.4453125,175.6484375,351.296875,Closed
6,271,52258.8984375,2024-10-29 14:30:00+00:00,51968.8984375,52548.8984375,290.0,-290.0,Closed
7,387,52376.55078125,2024-11-06 12:15:00+00:00,52340.8515625,52412.25,35.69921875,-35.69921875,Closed
8,400,52045.3515625,2024-11-07 09:15:00+00:00,52106.25390625,52167.15625,60.90234375,60.90234375,Closed
9,460,52110.6015625,2024-11-11 11:45:00+00:00,52103.1484375,52118.0546875,7.453125,-7.453125,Closed
10,461,52091.19921875,2024-11-11 12:00:00+00:00,52016.94921875,52165.44921875,74.25,-74.25,Closed
11,466,51958.5,2024-11-11 13:15:00+00:00,51935.19921875,51981.80078125,23.30078125,-23.30078125,Closed
12,469,51832.94921875,2024-11-11 14:00:00+00:00,51909.44921875,51985.94921875,76.5,76.5,Closed
