,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,25,1348.050048828125,2024-10-28 05:50:00+00:00,1343.449951171875,1352.650146484375,4.60009765625,-4.60009765625,Closed
1,31,1349.4000244140625,2024-10-28 06:20:00+00:00,1348.9000244140625,1349.9000244140625,0.5,-0.5,Closed
2,37,1351.550048828125,2024-10-28 06:50:00+00:00,1349.25,1353.85009765625,2.300048828125,-2.300048828125,Closed
3,38,1351.4000244140625,2024-10-28 06:55:00+00:00,1349.550048828125,1353.25,1.8499755859375,-1.8499755859375,Closed
4,109,1330.9000244140625,2024-10-29 06:35:00+00:00,1334.9000244140625,1338.9000244140625,4.0,4.0,Closed
5,113,1330.300048828125,2024-10-29 06:55:00+00:00,1333.500244140625,1334.30029296875,0.800048828125,3.2001953125,Closed
6,139,1335.1500244140625,2024-10-29 09:05:00+00:00,1339.500244140625,1340.9503173828125,1.4500732421875,4.3502197265625,Closed
7,147,1340.1500244140625,2024-10-29 09:45:00+00:00,1339.949951171875,1340.35009765625,0.2000732421875,-0.2000732421875,Closed
8,152,1335.5,2024-10-30 03:55:00+00:00,1344.7999267578125,1347.89990234375,3.0999755859375,9.2999267578125,Closed
9,173,1340.5,2024-10-30 05:40:00+00:00,1344.0,1347.5,3.5,3.5,Closed
10,187,1344.0999755859375,2024-10-30 06:50:00+00:00,1348.1998291015625,1350.249755859375,2.0499267578125,4.099853515625,Closed
11,190,1346.0,2024-10-30 07:05:00+00:00,1347.449951171875,1348.89990234375,1.449951171875,1.449951171875,Closed
12,196,1347.75,2024-10-30 07:35:00+00:00,1346.300048828125,1349.199951171875,1.449951171875,-1.449951171875,Closed
13,261,1338.699951171875,2024-10-31 06:45:00+00:00,1335.449951171875,1341.949951171875,3.25,-3.25,Closed
14,277,1337.800048828125,2024-10-31 08:05:00+00:00,1338.650146484375,1339.500244140625,0.85009765625,0.85009765625,Closed
15,364,1299.3499755859375,2024-11-04 09:05:00+00:00,1303.89990234375,1308.4498291015625,4.5499267578125,4.5499267578125,Closed
16,370,1305.75,2024-11-04 09:35:00+00:00,1304.0999755859375,1307.4000244140625,1.6500244140625,-1.6500244140625,Closed
17,376,1296.0999755859375,2024-11-05 03:50:00+00:00,1295.800048828125,1296.39990234375,0.2999267578125,-0.2999267578125,Closed
18,391,1301.5999755859375,2024-11-05 05:05:00+00:00,1303.64990234375,1305.6998291015625,2.0499267578125,2.0499267578125,Closed
19,394,1303.5,2024-11-05 05:20:00+00:00,1302.5999755859375,1304.4000244140625,0.9000244140625,-0.9000244140625,Closed
20,400,1296.550048828125,2024-11-05 05:50:00+00:00,1294.699951171875,1298.400146484375,1.85009765625,-1.85009765625,Closed
