,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,16,3304.14990234375,2024-10-28 05:05:00+00:00,3275.0,3333.2998046875,29.14990234375,-29.14990234375,Closed
1,20,3319.949951171875,2024-10-28 05:25:00+00:00,3316.199951171875,3323.699951171875,3.75,-3.75,Closed
2,124,3221.300048828125,2024-10-29 07:50:00+00:00,3236.000244140625,3243.350341796875,7.35009765625,14.7001953125,Closed
3,127,3228.449951171875,2024-10-29 08:05:00+00:00,3233.89990234375,3239.349853515625,5.449951171875,5.449951171875,Closed
4,149,3265.800048828125,2024-10-29 09:55:00+00:00,3244.949951171875,3286.650146484375,20.85009765625,-20.85009765625,Closed
5,292,3116.39990234375,2024-10-31 09:20:00+00:00,3141.99951171875,3148.3994140625,6.39990234375,25.599609375,Closed
6,314,3137.550048828125,2024-11-04 04:55:00+00:00,3138.650146484375,3139.750244140625,1.10009765625,1.10009765625,Closed
7,361,3157.0,2024-11-04 08:50:00+00:00,3156.0,3158.0,1.0,-1.0,Closed
8,432,3160.0,2024-11-05 08:30:00+00:00,3169.199951171875,3178.39990234375,9.199951171875,9.199951171875,Closed
9,450,3171.800048828125,2024-11-06 03:45:00+00:00,3167.050048828125,3176.550048828125,4.75,-4.75,Closed
10,512,3172.199951171875,2024-11-06 08:55:00+00:00,3176.949951171875,3181.699951171875,4.75,4.75,Closed
11,515,3179.64990234375,2024-11-06 09:10:00+00:00,3174.800048828125,3184.499755859375,4.849853515625,-4.849853515625,Closed
12,697,3034.64990234375,2024-11-11 05:35:00+00:00,3053.19921875,3055.84912109375,2.64990234375,18.54931640625,Closed
13,703,3051.35009765625,2024-11-11 06:05:00+00:00,3041.75,3060.9501953125,9.60009765625,-9.60009765625,Closed
14,974,2822.60009765625,2024-11-14 09:55:00+00:00,2835.500244140625,2839.80029296875,4.300048828125,12.900146484375,Closed
15,981,2828.699951171875,2024-11-18 04:15:00+00:00,2810.0,2847.39990234375,18.699951171875,-18.699951171875,Closed
16,1011,2818.5,2024-11-18 06:45:00+00:00,2832.300048828125,2846.10009765625,13.800048828125,13.800048828125,Closed
17,1016,2831.0,2024-11-18 07:10:00+00:00,2833.14990234375,2835.2998046875,2.14990234375,2.14990234375,Closed
18,1034,2850.449951171875,2024-11-18 08:40:00+00:00,2852.749755859375,2853.899658203125,1.14990234375,2.2998046875,Closed
19,1037,2848.300048828125,2024-11-18 08:55:00+00:00,2844.35009765625,2852.25,3.949951171875,-3.949951171875,Closed
20,1038,2840.60009765625,2024-11-18 09:00:00+00:00,2843.400146484375,2846.2001953125,2.800048828125,2.800048828125,Closed
21,1056,2857.5,2024-11-19 04:15:00+00:00,2862.550048828125,2867.60009765625,5.050048828125,5.050048828125,Closed
22,1110,2832.10009765625,2024-11-19 08:45:00+00:00,2828.550048828125,2835.650146484375,3.550048828125,-3.550048828125,Closed
23,1115,2839.25,2024-11-19 09:10:00+00:00,2816.949951171875,2861.550048828125,22.300048828125,-22.300048828125,Closed
24,1118,2840.800048828125,2024-11-19 09:25:00+00:00,2839.25,2842.35009765625,1.550048828125,-1.550048828125,Closed
25,1119,2827.60009765625,2024-11-19 09:30:00+00:00,2823.75,2831.4501953125,3.85009765625,-3.85009765625,Closed
26,1179,2807.35009765625,2024-11-21 08:15:00+00:00,2798.949951171875,2815.750244140625,8.400146484375,-8.400146484375,Closed
27,1182,2808.699951171875,2024-11-21 08:30:00+00:00,2808.0,2809.39990234375,0.699951171875,-0.699951171875,Closed
28,1188,2810.0,2024-11-21 09:00:00+00:00,2805.0,2815.0,5.0,-5.0,Closed
29,1204,2815.5,2024-11-22 04:05:00+00:00,2805.0,2826.0,10.5,-10.5,Closed
30,1261,2846.300048828125,2024-11-22 08:50:00+00:00,2851.800048828125,2854.550048828125,2.75,5.5,Closed
31,1266,2857.64990234375,2024-11-22 09:15:00+00:00,2849.050048828125,2866.249755859375,8.599853515625,-8.599853515625,Closed
32,1283,2948.5,2024-11-25 04:25:00+00:00,3046.949951171875,3145.39990234375,98.449951171875,98.449951171875,Closed
33,1291,2980.75,2024-11-25 05:05:00+00:00,2990.5,3000.25,9.75,9.75,Closed
34,1313,2960.64990234375,2024-11-25 06:55:00+00:00,2961.39990234375,2962.14990234375,0.75,0.75,Closed
35,1329,2967.0,2024-11-25 08:15:00+00:00,2974.050048828125,2981.10009765625,7.050048828125,7.050048828125,Closed
36,1341,2977.10009765625,2024-11-25 09:15:00+00:00,2954.800048828125,2999.400146484375,22.300048828125,-22.300048828125,Closed
37,1342,2976.10009765625,2024-11-25 09:20:00+00:00,2969.5,2982.7001953125,6.60009765625,-6.60009765625,Closed
38,1356,2983.14990234375,2024-11-26 04:15:00+00:00,2970.449951171875,2995.849853515625,12.699951171875,-12.699951171875,Closed
39,1385,2986.699951171875,2024-11-26 06:40:00+00:00,2988.449951171875,2990.199951171875,1.75,1.75,Closed
40,1397,3004.89990234375,2024-11-26 07:40:00+00:00,3028.49951171875,3034.3994140625,5.89990234375,23.599609375,Closed
41,1398,3002.60009765625,2024-11-26 07:45:00+00:00,3062.60009765625,3067.60009765625,5.0,60.0,Closed
42,1406,3026.89990234375,2024-11-26 08:25:00+00:00,3056.3994140625,3059.349365234375,2.949951171875,29.49951171875,Closed
