,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,90,155.66000366210938,2024-10-18 13:00:00+00:00,155.25,156.07000732421875,0.410003662109375,-0.410003662109375,Closed
1,232,148.61000061035156,2024-10-28 11:00:00+00:00,147.39999389648438,149.82000732421875,1.2100067138671875,-1.2100067138671875,Closed
2,239,148.6199951171875,2024-10-28 12:45:00+00:00,149.27999877929688,149.5,0.220001220703125,0.660003662109375,Closed
3,244,149.22999572753906,2024-10-28 14:00:00+00:00,149.49998474121094,149.7699737548828,0.269989013671875,0.269989013671875,Closed
4,276,149.85000610351562,2024-10-30 09:30:00+00:00,150.510009765625,151.17001342773438,0.660003662109375,0.660003662109375,Closed
5,281,150.2899932861328,2024-10-30 10:45:00+00:00,150.42999267578125,150.5699920654297,0.1399993896484375,0.1399993896484375,Closed
6,286,149.9499969482422,2024-10-30 12:00:00+00:00,149.8800048828125,150.01998901367188,0.0699920654296875,-0.0699920654296875,Closed
7,352,150.3699951171875,2024-11-05 09:45:00+00:00,153.63998413085938,156.90997314453125,3.269989013671875,3.269989013671875,Closed
8,365,150.6999969482422,2024-11-05 13:00:00+00:00,152.1999969482422,152.4499969482422,0.25,1.5,Closed
9,387,151.5,2024-11-06 12:15:00+00:00,153.49996948242188,153.89996337890625,0.399993896484375,1.999969482421875,Closed
10,392,152.88999938964844,2024-11-06 13:30:00+00:00,153.4499969482422,154.00999450683594,0.55999755859375,0.55999755859375,Closed
11,403,156.3699951171875,2024-11-07 10:00:00+00:00,154.0,158.739990234375,2.3699951171875,-2.3699951171875,Closed
