,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,22,3509.550048828125,2024-10-15 14:45:00+00:00,3486.0,3533.10009765625,23.550048828125,-23.550048828125,Closed
1,186,3318.050048828125,2024-10-24 12:00:00+00:00,3319.9501953125,3321.850341796875,1.900146484375,1.900146484375,Closed
2,191,3313.949951171875,2024-10-24 13:15:00+00:00,3331.7998046875,3337.749755859375,5.949951171875,17.849853515625,Closed
3,194,3320.0,2024-10-24 14:00:00+00:00,3330.39990234375,3335.599853515625,5.199951171875,10.39990234375,Closed
4,198,3333.699951171875,2024-10-24 15:00:00+00:00,3329.85009765625,3337.5498046875,3.849853515625,-3.849853515625,Closed
5,273,3286.0,2024-10-29 15:00:00+00:00,3266.0,3306.0,20.0,-20.0,Closed
6,278,3276.10009765625,2024-10-30 10:00:00+00:00,3272.89990234375,3279.30029296875,3.2001953125,-3.2001953125,Closed
7,299,3306.949951171875,2024-10-30 15:15:00+00:00,3304.89990234375,3309.0,2.050048828125,-2.050048828125,Closed
8,353,3243.699951171875,2024-11-05 10:00:00+00:00,3211.0,3276.39990234375,32.699951171875,-32.699951171875,Closed
9,438,3157.800048828125,2024-11-08 12:30:00+00:00,3181.800048828125,3205.800048828125,24.0,24.0,Closed
10,442,3166.050048828125,2024-11-08 13:30:00+00:00,3182.7001953125,3188.250244140625,5.550048828125,16.650146484375,Closed
11,448,3186.550048828125,2024-11-08 15:00:00+00:00,3178.800048828125,3194.300048828125,7.75,-7.75,Closed
12,459,3223.14990234375,2024-11-11 11:30:00+00:00,3212.0,3234.2998046875,11.14990234375,-11.14990234375,Closed
13,473,3210.0,2024-11-11 15:00:00+00:00,3232.0,3243.0,11.0,22.0,Closed
