,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,20,7024.4501953125,2024-10-28 05:25:00+00:00,7020.0,7028.900390625,4.4501953125,-4.4501953125,Closed
1,21,7010.85009765625,2024-10-28 05:30:00+00:00,6992.0,7029.7001953125,18.85009765625,-18.85009765625,Closed
2,124,6945.35009765625,2024-10-29 07:50:00+00:00,6960.80029296875,6976.25048828125,15.4501953125,15.4501953125,Closed
3,127,6929.75,2024-10-29 08:05:00+00:00,7028.953125,7035.1533203125,6.2001953125,99.203125,Closed
4,143,7028.64990234375,2024-10-29 09:25:00+00:00,7028.0,7029.2998046875,0.64990234375,-0.64990234375,Closed
5,147,7012.10009765625,2024-10-29 09:45:00+00:00,6997.9501953125,7026.25,14.14990234375,-14.14990234375,Closed
6,150,6976.0,2024-10-30 03:45:00+00:00,6983.39990234375,6990.7998046875,7.39990234375,7.39990234375,Closed
7,173,6960.2001953125,2024-10-30 05:40:00+00:00,6950.7001953125,6969.7001953125,9.5,-9.5,Closed
8,188,6964.89990234375,2024-10-30 06:55:00+00:00,6975.8984375,6978.09814453125,2.19970703125,10.99853515625,Closed
9,235,6958.7001953125,2024-10-31 04:35:00+00:00,6950.5,6966.900390625,8.2001953125,-8.2001953125,Closed
10,240,6937.10009765625,2024-10-31 05:00:00+00:00,6933.5,6940.7001953125,3.60009765625,-3.60009765625,Closed
11,336,6802.10009765625,2024-11-04 06:45:00+00:00,6794.9501953125,6809.25,7.14990234375,-7.14990234375,Closed
12,353,6806.0,2024-11-04 08:10:00+00:00,6819.0,6822.25,3.25,13.0,Closed
13,367,6830.0498046875,2024-11-04 09:20:00+00:00,6838.2490234375,6840.298828125,2.0498046875,8.19921875,Closed
14,379,6805.5498046875,2024-11-05 04:05:00+00:00,6810.94970703125,6816.349609375,5.39990234375,5.39990234375,Closed
15,421,6748.0,2024-11-05 07:35:00+00:00,6904.0,6910.0,6.0,156.0,Closed
16,438,6980.39990234375,2024-11-05 09:00:00+00:00,6979.5,6981.2998046875,0.89990234375,-0.89990234375,Closed
17,442,6955.0,2024-11-05 09:20:00+00:00,6942.2998046875,6967.7001953125,12.7001953125,-12.7001953125,Closed
18,457,6953.75,2024-11-06 04:20:00+00:00,6930.35009765625,6977.14990234375,23.39990234375,-23.39990234375,Closed
19,543,6907.0,2024-11-07 05:15:00+00:00,6894.89990234375,6919.10009765625,12.10009765625,-12.10009765625,Closed
20,546,6917.39990234375,2024-11-07 05:30:00+00:00,6907.7998046875,6927.0,9.60009765625,-9.60009765625,Closed
21,562,6911.14990234375,2024-11-07 06:50:00+00:00,6899.0,6923.2998046875,12.14990234375,-12.14990234375,Closed
22,613,6919.5,2024-11-08 04:50:00+00:00,6919.0,6920.0,0.5,-0.5,Closed
23,624,6909.0,2024-11-08 05:45:00+00:00,6910.0,6911.0,1.0,1.0,Closed
24,643,6849.9501953125,2024-11-08 07:20:00+00:00,6896.50048828125,6943.05078125,46.55029296875,46.55029296875,Closed
25,651,6886.75,2024-11-08 08:00:00+00:00,6879.7998046875,6893.7001953125,6.9501953125,-6.9501953125,Closed
26,656,6869.9501953125,2024-11-08 08:25:00+00:00,6894.5537109375,6896.60400390625,2.05029296875,24.603515625,Closed
27,660,6893.0498046875,2024-11-08 08:45:00+00:00,6901.74951171875,6910.44921875,8.69970703125,8.69970703125,Closed
28,666,6898.0498046875,2024-11-08 09:15:00+00:00,6894.0,6902.099609375,4.0498046875,-4.0498046875,Closed
