,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,89,1551.449951171875,2024-10-18 12:45:00+00:00,1559.8497314453125,1562.649658203125,2.7999267578125,8.3997802734375,Closed
1,181,1496.5,2024-10-24 10:45:00+00:00,1487.0,1506.0,9.5,-9.5,Closed
2,195,1494.6500244140625,2024-10-24 14:15:00+00:00,1501.85009765625,1509.0501708984375,7.2000732421875,7.2000732421875,Closed
3,232,1496.300048828125,2024-10-28 11:00:00+00:00,1500.650146484375,1505.000244140625,4.35009765625,4.35009765625,Closed
4,239,1499.9000244140625,2024-10-28 12:45:00+00:00,1503.8001708984375,1505.1002197265625,1.300048828125,3.900146484375,Closed
5,266,1470.0,2024-10-29 13:15:00+00:00,1464.949951171875,1475.050048828125,5.050048828125,-5.050048828125,Closed
6,321,1554.199951171875,2024-10-31 14:30:00+00:00,1578.599853515625,1590.7998046875,12.199951171875,24.39990234375,Closed
7,354,1596.0999755859375,2024-11-05 10:15:00+00:00,1597.5999755859375,1599.0999755859375,1.5,1.5,Closed
8,367,1602.1500244140625,2024-11-05 13:30:00+00:00,1599.949951171875,1604.35009765625,2.2000732421875,-2.2000732421875,Closed
9,402,1562.25,2024-11-07 09:45:00+00:00,1572.550048828125,1577.7000732421875,5.1500244140625,10.300048828125,Closed
10,439,1579.6500244140625,2024-11-08 12:45:00+00:00,1592.900146484375,1595.5501708984375,2.6500244140625,13.2501220703125,Closed
11,443,1591.5999755859375,2024-11-08 13:45:00+00:00,1594.39990234375,1597.1998291015625,2.7999267578125,2.7999267578125,Closed
12,477,1545.6500244140625,2024-11-12 09:45:00+00:00,1540.6500244140625,1550.6500244140625,5.0,-5.0,Closed
13,495,1534.25,2024-11-12 14:15:00+00:00,1529.9000244140625,1538.5999755859375,4.3499755859375,-4.3499755859375,Closed
14,514,1514.949951171875,2024-11-13 12:45:00+00:00,1516.349853515625,1517.749755859375,1.39990234375,1.39990234375,Closed
