,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,14,483.29998779296875,2024-10-28 04:55:00+00:00,485.0999755859375,486.89996337890625,1.79998779296875,1.79998779296875,Closed
1,29,484.6499938964844,2024-10-28 06:10:00+00:00,485.3999938964844,486.1499938964844,0.75,0.75,Closed
2,37,485.6000061035156,2024-10-28 06:50:00+00:00,485.1000061035156,486.1000061035156,0.5,-0.5,Closed
3,57,483.5,2024-10-28 08:30:00+00:00,483.94989013671875,483.9998779296875,0.04998779296875,0.44989013671875,Closed
4,66,484.8500061035156,2024-10-28 09:15:00+00:00,485.20001220703125,485.5500183105469,0.350006103515625,0.350006103515625,Closed
5,83,482.79998779296875,2024-10-29 04:25:00+00:00,483.699951171875,483.8499450683594,0.149993896484375,0.89996337890625,Closed
6,97,483.45001220703125,2024-10-29 05:35:00+00:00,483.95001220703125,484.20001220703125,0.25,0.5,Closed
7,139,488.20001220703125,2024-10-29 09:05:00+00:00,488.95001220703125,489.70001220703125,0.75,0.75,Closed
8,156,490.6000061035156,2024-10-30 04:15:00+00:00,491.9000244140625,493.2000427246094,1.300018310546875,1.300018310546875,Closed
9,235,488.1000061035156,2024-10-31 04:35:00+00:00,488.7000427246094,488.9000549316406,0.20001220703125,0.60003662109375,Closed
10,256,486.5,2024-10-31 06:20:00+00:00,486.20001220703125,486.79998779296875,0.29998779296875,-0.29998779296875,Closed
11,257,486.1499938964844,2024-10-31 06:25:00+00:00,487.0999755859375,488.0499572753906,0.949981689453125,0.949981689453125,Closed
12,264,485.54998779296875,2024-10-31 07:00:00+00:00,486.64996337890625,487.199951171875,0.54998779296875,1.0999755859375,Closed
13,270,486.25,2024-10-31 07:30:00+00:00,485.95001220703125,486.54998779296875,0.29998779296875,-0.29998779296875,Closed
14,309,484.75,2024-11-04 04:30:00+00:00,484.8999938964844,485.04998779296875,0.149993896484375,0.149993896484375,Closed
15,335,482.1499938964844,2024-11-04 06:40:00+00:00,481.8999938964844,482.3999938964844,0.25,-0.25,Closed
16,368,484.3500061035156,2024-11-04 09:25:00+00:00,482.6499938964844,486.0500183105469,1.70001220703125,-1.70001220703125,Closed
17,419,478.54998779296875,2024-11-05 07:25:00+00:00,478.74993896484375,478.84991455078125,0.0999755859375,0.199951171875,Closed
