,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,19,3507.449951171875,2024-10-15 14:00:00+00:00,3486.0,3528.89990234375,21.449951171875,-21.449951171875,Closed
1,47,3461.449951171875,2024-10-16 14:45:00+00:00,3466.349853515625,3468.7998046875,2.449951171875,4.89990234375,Closed
2,101,3362.0,2024-10-21 09:30:00+00:00,3355.89990234375,3368.10009765625,6.10009765625,-6.10009765625,Closed
3,102,3351.5,2024-10-21 09:45:00+00:00,3373.75,3396.0,22.25,22.25,Closed
4,110,3362.0,2024-10-21 11:45:00+00:00,3359.75,3364.25,2.25,-2.25,Closed
5,186,3318.050048828125,2024-10-24 12:00:00+00:00,3319.9501953125,3321.850341796875,1.900146484375,1.900146484375,Closed
6,194,3320.0,2024-10-24 14:00:00+00:00,3330.39990234375,3335.599853515625,5.199951171875,10.39990234375,Closed
7,198,3333.699951171875,2024-10-24 15:00:00+00:00,3329.85009765625,3337.5498046875,3.849853515625,-3.849853515625,Closed
8,263,3265.449951171875,2024-10-29 12:30:00+00:00,3256.85009765625,3274.0498046875,8.599853515625,-8.599853515625,Closed
9,272,3272.0,2024-10-29 14:45:00+00:00,3284.0,3290.0,6.0,12.0,Closed
10,299,3306.949951171875,2024-10-30 15:15:00+00:00,3304.89990234375,3309.0,2.050048828125,-2.050048828125,Closed
11,350,3237.64990234375,2024-11-05 09:15:00+00:00,3211.0,3264.2998046875,26.64990234375,-26.64990234375,Closed
12,379,3141.550048828125,2024-11-06 10:15:00+00:00,3144.10009765625,3146.650146484375,2.550048828125,2.550048828125,Closed
13,386,3185.0,2024-11-06 12:00:00+00:00,3149.949951171875,3220.050048828125,35.050048828125,-35.050048828125,Closed
14,442,3166.050048828125,2024-11-08 13:30:00+00:00,3182.7001953125,3188.250244140625,5.550048828125,16.650146484375,Closed
15,448,3186.550048828125,2024-11-08 15:00:00+00:00,3178.800048828125,3194.300048828125,7.75,-7.75,Closed
16,459,3223.14990234375,2024-11-11 11:30:00+00:00,3212.0,3234.2998046875,11.14990234375,-11.14990234375,Closed
17,473,3210.0,2024-11-11 15:00:00+00:00,3232.0,3243.0,11.0,22.0,Closed
18,491,3195.949951171875,2024-11-12 13:15:00+00:00,3200.750244140625,3201.55029296875,0.800048828125,4.80029296875,Closed
19,514,3196.0,2024-11-13 12:45:00+00:00,3197.199951171875,3198.39990234375,1.199951171875,1.199951171875,Closed
20,532,3152.39990234375,2024-11-14 11:00:00+00:00,3147.550048828125,3157.249755859375,4.849853515625,-4.849853515625,Closed
21,535,3145.0,2024-11-14 11:45:00+00:00,3170.5,3183.25,12.75,38.89990234375,Trailing
22,542,3150.949951171875,2024-11-14 13:30:00+00:00,3172.949951171875,3178.449951171875,5.5,32.949951171875,Trailing
